Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
5,by,4,1.6094379124341003,6.437751649736401
7,by,5,1.6094379124341003,8.047189562170502
12,by,1,1.6094379124341003,1.6094379124341003
6,uncles,1,2.70805020110221,2.70805020110221
6,harder,1,2.70805020110221,2.70805020110221
6,growing,1,2.70805020110221,2.70805020110221
6,mother,1,2.0149030205422647,2.0149030205422647
12,mother,1,2.0149030205422647,2.0149030205422647
6,piggy,1,2.70805020110221,2.70805020110221
6,papa,1,2.70805020110221,2.70805020110221
6,grab,1,2.70805020110221,2.70805020110221
6,wanted,1,1.6094379124341003,1.6094379124341003
11,wanted,3,1.6094379124341003,4.828313737302301
15,wanted,3,1.6094379124341003,4.828313737302301
7,magic,2,2.70805020110221,5.41610040220442
7,whiteface,1,2.70805020110221,2.70805020110221
7,faces,1,2.70805020110221,2.70805020110221
7,shut,1,2.70805020110221,2.70805020110221
7,wise,1,2.70805020110221,2.70805020110221
7,cruel,1,2.70805020110221,2.70805020110221
7,lindsey,1,2.70805020110221,2.70805020110221
7,sin,1,2.70805020110221,2.70805020110221
8,failing,1,2.70805020110221,2.70805020110221
8,disappointed,1,2.70805020110221,2.70805020110221
9,alone,2,1.6094379124341003,3.2188758248682006
11,alone,2,1.6094379124341003,3.2188758248682006
15,alone,1,1.6094379124341003,1.6094379124341003
11,healed,1,2.70805020110221,2.70805020110221
11,today,1,2.70805020110221,2.70805020110221
12,park,1,2.70805020110221,2.70805020110221
14,crawl,1,2.70805020110221,2.70805020110221
1,in,1,0.14310084364067324,0.14310084364067324
2,in,3,0.14310084364067324,0.42930253092201975
3,in,1,0.14310084364067324,0.14310084364067324
5,in,2,0.14310084364067324,0.2862016872813465
6,in,9,0.14310084364067324,1.2879075927660593
7,in,29,0.14310084364067324,4.149924465579524
8,in,11,0.14310084364067324,1.5741092800474057
9,in,2,0.14310084364067324,0.2862016872813465
11,in,3,0.14310084364067324,0.42930253092201975
12,in,1,0.14310084364067324,0.14310084364067324
13,in,3,0.14310084364067324,0.42930253092201975
14,in,8,0.14310084364067324,1.144806749125386
15,in,5,0.14310084364067324,0.7155042182033662
1,go,1,0.4054651081081644,0.4054651081081644
2,go,1,0.4054651081081644,0.4054651081081644
